day_of_week,time
Tuesday,19:29:34
Monday,03:08:59
Tuesday,20:44:57
Sunday,14:42:35
Monday,15:07:07
Monday,19:11:27
Monday,21:50:00
Friday,01:08:10
Thursday,03:33:24
Friday,03:09:55
Tuesday,01:04:02
Thursday,23:51:12
Friday,02:32:20
Saturday,22:04:59
Monday,02:43:27
Tuesday,17:51:25
Wednesday,22:36:36
Friday,04:39:36
Thursday,01:49:11
Tuesday,14:56:01
Friday,10:37:58
Sunday,03:21:30
Monday,01:59:34
Tuesday,17:53:20
Wednesday,04:43:10
Thursday,16:52:55
Friday,18:34:19
Thursday,14:01:57
Friday,22:13:55
Saturday,22:54:01
Wednesday,03:41:38
Tuesday,02:01:50
Tuesday,01:30:41
Thursday,11:36:18
Thursday,20:21:32
Wednesday,12:42:44
Friday,15:21:32
Sunday,20:42:12
Tuesday,12:45:05
Tuesday,21:32:57
Friday,20:09:08
Monday,12:21:51
Monday,01:14:35
Monday,15:17:05
Thursday,17:53:37
Tuesday,20:32:44
Wednesday,14:06:15
Wednesday,15:45:50
Wednesday,02:36:22
Thursday,14:43:02
Thursday,23:31:00
Tuesday,14:07:26
Monday,12:21:31
Friday,20:30:03
Saturday,02:06:09
Friday,05:29:09
